Box Office:,Directed By:,Genre:,In Theaters:,On Disc/Streaming:,Rating:,Runtime:,Studio:,Written By:,audience_score,critics_consensus,title,tomatometer,tomatometer_count,url,user_rating_count
,Josh Cooley,"Animation, 
                             
                                Comedy, 
                             
                                Kids & Family, 
                             
                                Science Fiction & Fantasy","Jun 21, 2019
 wide","Oct 1, 2019",G,90 minutes,Disney/Pixar,"Andrew Stanton, 
                             
                                Stephany Folsom",94%,"Heartwarming, funny, and beautifully animated, Toy Story 4 manages the unlikely feat of extending -- and perhaps concluding -- a practically perfect animated saga.",Toy Story 4,97%,402,https://www.rottentomatoes.com/m/toy_story_4," 53,096"
,James Franco,Drama,"Oct 4, 2019
 limited","Oct 4, 2019",NR,95 minutes,Cleopatra Entertainment,Josh Boone,71%,,Pretenders,22%,9,https://www.rottentomatoes.com/m/pretenders, 22
,Jon Favreau,"Action & Adventure, 
                             
                                Animation, 
                             
                                Drama","Jul 19, 2019
 wide","Oct 11, 2019","PG (for sequences of violence and peril, and some thematic elements)",110 minutes,Walt Disney Pictures,Jeff Nathanson,88%,"While it can take pride in its visual achievements,The Lion King is a by-the-numbers retelling that lacks the energy and heart that made the original so beloved--though for some fans that may just be enough.",The Lion King,53%,390,https://www.rottentomatoes.com/m/the_lion_king_2019," 76,190"
,Michel Ocelot,"Animation, 
                             
                                Art House & International, 
                             
                                Kids & Family, 
                             
                                Mystery & Suspense","Oct 4, 2019
 limited","Oct 4, 2019","PG (for thematic material throughout, some language, peril and brief smoking)",94 minutes,,Michel Ocelot,,,Dilili in Paris (Dilili à Paris),60%,20,https://www.rottentomatoes.com/m/dilili_in_paris, Not yet available
,Michael Dowse,"Action & Adventure, 
                             
                                Comedy","Jul 12, 2019
 wide","Oct 1, 2019","R (for violence and language throughout, some sexual references and brief graphic nudity)",105 minutes,20th Century Fox,Tripper Clancy,79%,"Though it makes a strong case for future collaborations between Kumail Nanjiani and Dave Bautista, Stuber fails to mesh its contrasting genres, settling for an overtly violent, mildly entertaining diversion that's far from a five-star ride.",Stuber,42%,207,https://www.rottentomatoes.com/m/stuber," 5,388"
,Jim Mickle,Drama,,"Sep 27, 2019",NR,115 minutes,Netflix,"Geoff Tock, 
                             
                                Gregory Weidman",,"In the Shadow of the Moon isn't always successful at balancing its assorted elements, but its struggles may be diverting enough to warrant a stream.",In the Shadow of the Moon,61%,46,https://www.rottentomatoes.com/m/in_the_shadow_of_the_moon_2019, Not yet available
,Devon Parks,Mystery & Suspense,"Sep 14, 2018
 limited","Oct 8, 2019",PG-13 (for violence and brief drug material),101 minutes,Giant Pictures,Devon Parks,100%,,The Riot Act,57%,14,https://www.rottentomatoes.com/m/the_riot_act, 46
,Alex Holmes,Documentary,"Jun 28, 2019
 limited","Oct 1, 2019","PG (for language, thematic elements, some suggestive content and brief smoking images)",97 minutes,Sony Pictures Classics,Alex Holmes,97%,"Enthralling viewing even for audiences with little to no knowledge of or interest in sailing, Maiden pays powerful tribute to a true pioneer.",Maiden,98%,109,https://www.rottentomatoes.com/m/maiden, 213
,Vincenzo Natali,Mystery & Suspense,,"Oct 4, 2019",NR,90 minutes,Netflix,,,A potentially intriguing premise is rapidly lost in the weeds during In the Tall Grass which struggles to stretch its slim source material to feature length.,In the Tall Grass,40%,55,https://www.rottentomatoes.com/m/in_the_tall_grass_2019, Not yet available
,Billy Senese,Mystery & Suspense,"Oct 11, 2019
 limited","Oct 11, 2019",NR,93 minutes,Arrow Films,Billy Senese,,,The Dead Center,100%,14,https://www.rottentomatoes.com/m/the_dead_center, Not yet available
