title,runtime,audience_score,movie_score,tomatometer_count,user_rating_count,genre_Action,genre_Adventure,genre_Comedy,genre_Fantasy,genre_Horror,genre_Romance,genre_Sci-fi,genre_Special Interest,genre_Western,genre_FamilyKids,genre_AnimationManga,genre_FitnessSports,genre_DramaTele,genre_MusicalPerfarts,genre_ClassicsCult,genre_ArthouseInter,genre_ThrillMysSusp,genre_HistDocument,G,NC17,NR,PG,PG-13,R,ss_mean,ss_median,ss_p25,ss_p75,ss_std,ss_count,domestic_gross,domestic_opening,foreign_gross,markets,total_gross,markets_missing,audience_score_positive,movie_score_positive
Toy Story 4,90.0,94.0,97,402,53096.0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8731343283582089,1.0,1.0,1.0,0.3332371668081397,402.0,433833761.0,120908065.0,637539788.0,56.0,1071373549.0,0.0,True,True
Pretenders,95.0,71.0,22,9,22.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5555555555555556,1.0,0.0,1.0,0.5270462766947299,9.0,0.0,0.0,3509.0,,3509.0,1.0,True,False
The Lion King,110.0,88.0,53,390,76190.0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.7051282051282052,1.0,0.0,1.0,0.4565708317394218,390.0,543265323.0,191770759.0,1110039326.0,56.0,1653304649.0,0.0,True,False
Dilili in Paris (Dilili à Paris),94.0,,60,20,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0.65,1.0,0.0,1.0,0.4893604849295929,20.0,0.0,0.0,4856037.0,,4856037.0,1.0,False,False
Stuber,105.0,79.0,42,207,5388.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5555555555555556,1.0,0.0,1.0,0.4981086125131372,207.0,22370452.0,8225384.0,10020493.0,34.0,32390945.0,0.0,True,False
In the Shadow of the Moon,115.0,,61,46,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.7391304347826086,1.0,0.25,1.0,0.4439610898213517,46.0,1134358.0,38281.0,1027011.0,6.0,2161369.0,0.0,False,False
The Riot Act,101.0,100.0,57,14,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.9285714285714286,1.0,1.0,1.0,0.2672612419124244,14.0,75506.0,28840.0,0.0,,75506.0,1.0,True,False
Maiden,97.0,97.0,98,109,213.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.8990825688073395,1.0,1.0,1.0,0.3026106815708058,109.0,3152977.0,46931.0,306633.0,4.0,3459610.0,0.0,True,True
In the Tall Grass,90.0,,40,55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.6727272727272727,1.0,0.0,1.0,0.4735424207422438,55.0,,,,,,,False,False
The Dead Center,93.0,,100,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.7857142857142857,1.0,1.0,1.0,0.42581531362631997,14.0,8320.0,5325.0,0.0,,8320.0,1.0,False,True
The Parts You Lose,93.0,62.0,67,15,13.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.6666666666666666,1.0,0.0,1.0,0.4879500364742666,15.0,,,,,,,True,False
The Death of Dick Long,100.0,86.0,76,71,7.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7183098591549296,1.0,0.0,1.0,0.4530247105070318,71.0,36856.0,26630.0,0.0,,36856.0,1.0,True,True
Sister Aimee,87.0,,67,18,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.7777777777777778,1.0,1.0,1.0,0.4277926319464985,18.0,54030.0,19704.0,2157465.0,5.0,2211495.0,0.0,False,False
Memory: The Origins of Alien,93.0,86.0,81,72,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.7916666666666666,1.0,1.0,1.0,0.4089664058657638,72.0,26235.0,14704.0,5894.0,,32129.0,1.0,True,True
Marianne & Leonard: Words of Love,97.0,85.0,79,104,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.8269230769230769,1.0,1.0,1.0,0.3801457996306791,104.0,1012034.0,44942.0,574494.0,5.0,1586528.0,0.0,True,True
Little Monsters,94.0,100.0,84,77,7.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7142857142857143,1.0,0.0,1.0,0.4547163041867238,77.0,0.0,0.0,98108.0,4.0,98108.0,0.0,True,True
Harpoon,83.0,,97,39,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.7692307692307693,1.0,1.0,1.0,0.4268327949183541,39.0,0.0,0.0,43476.0,,43476.0,1.0,False,True
The Art of Self-Defense,104.0,63.0,83,149,630.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7248322147651006,1.0,0.0,1.0,0.4481050251333848,149.0,2410914.0,114374.0,3355.0,,2414269.0,1.0,True,True
The Day Shall Come,88.0,,68,68,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.75,1.0,0.75,1.0,0.436232171512701,68.0,26972.0,14854.0,438266.0,,465238.0,1.0,False,True
Mary,,,0,19,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.35,0.0,0.0,1.0,0.4893604849295929,20.0,0.0,0.0,23890.0,,23890.0,1.0,False,False
Deadwood: The Movie,109.0,,97,75,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.8666666666666667,1.0,1.0,1.0,0.3422237822202267,75.0,,,,,,,False,True
Bliss,79.0,,88,26,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8076923076923077,1.0,1.0,1.0,0.4019184762342501,26.0,13043363.0,4650812.0,3589672.0,23.0,16633035.0,0.0,False,True
"The Gangster, the Cop, the Devil",110.0,94.0,95,22,18.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.85,1.0,1.0,1.0,0.3663475485325233,20.0,216494.0,78655.0,25888310.0,5.0,26104804.0,0.0,True,True
Ready to Mingle (Bachelorettes) (Solteras),95.0,29.0,43,7,7.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.42857142857142855,0.0,0.0,1.0,0.5345224838248488,7.0,0.0,0.0,3231457.0,,3231457.0,1.0,False,False
Liam Gallagher: As It Was,85.0,,62,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.7692307692307693,1.0,1.0,1.0,0.4296689244236596,26.0,0.0,0.0,475877.0,,475877.0,1.0,False,False
Cuck,115.0,,44,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.3333333333333333,0.0,0.0,1.0,0.5,9.0,108981275.0,0.0,16354.0,,108997629.0,1.0,False,False
10 Minutes Gone,88.0,,0,7,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.2857142857142857,0.0,0.0,0.5,0.4879500364742666,7.0,0.0,0.0,22258.0,,22258.0,1.0,False,False
El Camino: A Breaking Bad Movie,122.0,86.0,93,59,1718.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0.6833333333333333,1.0,0.0,1.0,0.4691017983072984,60.0,,,,,,,True,True
Wrinkles the Clown,78.0,,69,26,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.6923076923076923,1.0,0.0,1.0,0.4706787243316418,26.0,14001.0,28248.0,0.0,,14001.0,1.0,False,True
Semper Fi,99.0,,20,15,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6666666666666666,1.0,0.0,1.0,0.4879500364742666,15.0,,,,,,,False,False
Lucky Day,99.0,,13,8,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.625,1.0,0.0,1.0,0.5175491695067657,8.0,0.0,0.0,52369.0,,52369.0,1.0,False,False
